ID,DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,COD_CONGLOMERADO_FINANCEIRO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES
1,202309,2,AC,49906,BB,142,1421991.1
2,202309,2,AC,10045,BRADESCO,15,83829.79
3,202309,2,AC,49944,BTG PACTUAL,7,37788.79
4,202309,2,AC,51626,CAIXA ECON?MICA FEDERAL,82,247430.66
5,202309,2,AC,51884,INTER,4,12306.86
6,202309,2,AC,10069,ITAU,144,316331.72
7,202309,2,AC,30379,SANTANDER,232,1024530.13
8,202309,2,AC,51011,VOTORANTIM,16,63205.99
9,202309,2,AL,49906,BB,366,1923067.14
10,202309,2,AL,13009717,BCO DO EST. DE SE S.A.,1,3362.67
11,202309,2,AL,10045,BRADESCO,108,511735.61
12,202309,2,AL,49944,BTG PACTUAL,21,132834.28
13,202309,2,AL,51626,CAIXA ECON?MICA FEDERAL,311,692585.93
14,202309,2,AL,51884,INTER,35,134651.2
15,202309,2,AL,10069,ITAU,1365,2964085.89
16,202309,2,AL,30379,SANTANDER,1255,4889064.84
17,202309,2,AL,51011,VOTORANTIM,48,148710.1
18,202309,2,AM,49906,BB,306,2450978.66
19,202309,2,AM,10045,BRADESCO,368,2483097.52
20,202309,2,AM,49944,BTG PACTUAL,21,153686
21,202309,2,AM,51626,CAIXA ECON?MICA FEDERAL,218,438181.32
22,202309,2,AM,51884,INTER,22,74837.6
23,202309,2,AM,10069,ITAU,1312,3182301.16
24,202309,2,AM,30379,SANTANDER,2029,8498924.37
25,202309,2,AM,51011,VOTORANTIM,63,613296.71
26,202309,2,AP,49906,BB,223,2056139.06
27,202309,2,AP,10045,BRADESCO,18,187564.28
28,202309,2,AP,49944,BTG PACTUAL,7,36848.42
29,202309,2,AP,51626,CAIXA ECON?MICA FEDERAL,64,149048.96
30,202309,2,AP,51884,INTER,14,48998.53
31,202309,2,AP,10069,ITAU,198,466619.31
32,202309,2,AP,30379,SANTANDER,408,1472534.71
33,202309,2,AP,51011,VOTORANTIM,11,59548.56
34,202309,2,BA,49906,BB,1540,11153793.57
35,202309,2,BA,10045,BRADESCO,684,3722745.67
36,202309,2,BA,49944,BTG PACTUAL,75,352497.84
37,202309,2,BA,51626,CAIXA ECON?MICA FEDERAL,1206,2076439.38
38,202309,2,BA,51884,INTER,130,568249.77
39,202309,2,BA,10069,ITAU,6898,15364162.34
40,202309,2,BA,30379,SANTANDER,8141,29248248.04
41,202309,2,BA,51011,VOTORANTIM,190,1265392.11
42,202309,2,CE,49906,BB,977,6991109.52
43,202309,2,CE,10045,BRADESCO,432,3002365.56
44,202309,2,CE,49944,BTG PACTUAL,41,175565.65
45,202309,2,CE,51626,CAIXA ECON?MICA FEDERAL,714,1301911.21
46,202309,2,CE,51884,INTER,76,371011.55
47,202309,2,CE,10069,ITAU,4042,9019943.8
48,202309,2,CE,30379,SANTANDER,4294,17197895.25
49,202309,2,CE,51011,VOTORANTIM,159,797845.89
50,202309,2,DF,49906,BB,398,4210762.5
51,202309,2,DF,10045,BRADESCO,169,908948.74
52,202309,2,DF,49944,BTG PACTUAL,35,217515.46
53,202309,2,DF,51626,CAIXA ECON?MICA FEDERAL,440,1023827.3
54,202309,2,DF,51884,INTER,59,365436.86
